year,winner_name,loser_name
2005,Nicolas Kiefer,Ivo Karlovic
2005,Paul Henri Mathieu,Feliciano Lopez
2005,Chris Guccione,Santiago Ventura
2005,Albert Montanes,Sargis Sargsian
2005,Guillermo Canas,Gael Monfils
2005,Mariano Puerta,Ivan Ljubicic
2005,Kristof Vliegen,Antony Dupuis
2005,James Blake,Tomas Tenconi
2005,Stanislas Wawrinka,Nicolas Massu
2005,Filippo Volandri,Cyril Saulnier
2005,Flavio Saretta,Greg Rusedski
2005,Jose Acasuso,Max Mirnyi
2005,Andy Roddick,Jo Wilfried Tsonga
2005,Roger Federer,Nicolas Almagro
2005,Fernando Gonzalez,Tomas Behrend
2005,Fernando Vicente,Janko Tipsarevic
2005,Carlos Moya,Robin Vik
2005,David Nalbandian,Tomas Berdych
2005,Mario Ancic,Oscar Hernandez
2005,Victor Hanescu,Juan Ignacio Chela
2005,Luis Horna,Tim Henman
2005,Rafael Nadal,Xavier Malisse
2005,Richard Gasquet,Peter Wessels
2005,Sebastien Grosjean,Davide Sanguinetti
2005,Radek Stepanek,Florent Serra
2005,Hyung Taik Lee,Robin Soderling
2005,David Ferrer,Olivier Patience
2005,Felix Mantilla,Jiri Novak
2005,Gaston Gaudio,Dmitry Tursunov
2005,Guillermo Coria,Novak Djokovic
2005,Jurgen Melzer,Mikhail Youzhny
2005,Tommy Haas,Vincent Spadea
2005,Nikolay Davydenko,Olivier Rochus
2005,Tommy Robredo,Dick Norman
2005,David Sanchez,Thomas Johansson
2005,Juan Carlos Ferrero,Jan Hernych
2005,Marat Safin,Lukas Dlouhy
2005,Igor Andreev,Jarkko Nieminen
2005,Nicolas Kiefer,Arnaud Clement
2005,Paul Henri Mathieu,Chris Guccione
2005,Guillermo Canas,Albert Montanes
2005,Mariano Puerta,Kristof Vliegen
2005,Stanislas Wawrinka,James Blake
2005,Filippo Volandri,Flavio Saretta
2005,Jose Acasuso,Andy Roddick
2005,Roger Federer,Fernando Gonzalez
2005,Carlos Moya,Fernando Vicente
2005,David Nalbandian,Mario Ancic
2005,Victor Hanescu,Luis Horna
2005,Rafael Nadal,Richard Gasquet
2005,Sebastien Grosjean,Radek Stepanek
2005,David Ferrer,Hyung Taik Lee
2005,Gaston Gaudio,Felix Mantilla
2005,Guillermo Coria,Jurgen Melzer
2005,Nikolay Davydenko,Tommy Haas
2005,Tommy Robredo,David Sanchez
2005,Marat Safin,Juan Carlos Ferrero
2005,Nicolas Kiefer,Igor Andreev
2005,Guillermo Canas,Paul Henri Mathieu
2005,Mariano Puerta,Stanislas Wawrinka
2005,Jose Acasuso,Filippo Volandri
2005,Roger Federer,Carlos Moya
2005,Victor Hanescu,David Nalbandian
2005,Rafael Nadal,Sebastien Grosjean
2005,David Ferrer,Gaston Gaudio
